County,pop_2019
Adams,"20150"
Asotin,"22520"
Benton,"201800"
Chelan,"78420"
Clallam,"76010"
Clark,"488500"
Columbia,"4160"
Cowlitz,"108950"
Douglas,"42820"
Ferry,"7830"
Franklin,"94680"
Garfield,"2220"
Grant,"98740"
Grays_Harbor,"74160"
Island,"84820"
Jefferson,"31900"
King,"2226300"
Kitsap,"270100"
Kittitas,"46570"
Klickitat,"22430"
Lewis,"79480"
Lincoln,"10960"
Mason,"64980"
Okanogan,"42730"
Pacific,"21640"
Pend_Oreille,"13740"
Pierce,"888300"
San Juan,"17150"
Skagit,"129200"
Skamania,"12060"
Snohomish,"818700"
Spokane,"515250"
Stevens,"45570"
Thurston,"285800"
Wahkiakum,"4190"
Walla_Walla,"62200"
Whatcom,"225300"
Whitman,"50130"
Yakima,"255950"
